index	return	risk	AAPL	MSFT	PEP	PYPL	SPY	TSLA
0	0.008436	0.028707	0.060318	0.194669	0.531236	-0.000000	0.208909	0.004867
1	0.008605	0.028708	0.061234	0.191361	0.522642	-0.000000	0.220746	0.004018
2	0.008774	0.028713	0.062150	0.188053	0.514047	-0.000000	0.232583	0.003168
3	0.008943	0.028721	0.063066	0.184744	0.505452	-0.000000	0.244420	0.002318
4	0.009112	0.028731	0.063978	0.181433	0.496860	-0.000005	0.256264	0.001470
5	0.009280	0.028745	0.064897	0.178128	0.488263	-0.000000	0.268094	0.000619
6	0.009449	0.028762	0.065689	0.174905	0.479764	-0.000002	0.279652	-0.000007
7	0.009618	0.028782	0.066134	0.171933	0.471533	-0.000000	0.290400	-0.000000
8	0.009787	0.028805	0.066582	0.168956	0.463301	-0.000000	0.301161	-0.000000
9	0.009955	0.028833	0.067031	0.165979	0.455068	-0.000000	0.311922	-0.000000
10	0.010124	0.028863	0.067479	0.163003	0.446835	-0.000000	0.322683	-0.000000
11	0.010293	0.028897	0.067927	0.160026	0.438603	-0.000000	0.333445	-0.000000
12	0.010462	0.028935	0.068375	0.157050	0.430370	-0.000000	0.344205	-0.000000
13	0.010630	0.028976	0.068823	0.154073	0.422138	-0.000000	0.354966	-0.000000
14	0.010799	0.029021	0.069272	0.151097	0.413905	-0.000000	0.365727	-0.000000
15	0.010968	0.029069	0.069720	0.148120	0.405672	-0.000000	0.376489	-0.000000
16	0.011137	0.029120	0.070168	0.145143	0.397439	-0.000000	0.387250	-0.000000
17	0.011305	0.029175	0.070616	0.142167	0.389207	-0.000000	0.398011	-0.000000
18	0.011474	0.029234	0.071064	0.139190	0.380974	-0.000000	0.408772	-0.000000
19	0.011643	0.029295	0.071513	0.136214	0.372741	-0.000000	0.419533	-0.000000
20	0.011812	0.029360	0.071961	0.133237	0.364509	-0.000000	0.430294	-0.000000
21	0.011981	0.029429	0.072409	0.130260	0.356276	-0.000000	0.441055	-0.000000
22	0.012149	0.029500	0.072857	0.127284	0.348043	-0.000000	0.451816	-0.000000
23	0.012318	0.029575	0.073305	0.124307	0.339811	-0.000000	0.462577	-0.000000
24	0.012487	0.029653	0.073753	0.121330	0.331578	-0.000000	0.473338	-0.000000
25	0.012656	0.029735	0.074202	0.118354	0.323345	-0.000000	0.484099	-0.000000
26	0.012824	0.029819	0.074650	0.115377	0.315113	-0.000000	0.494861	-0.000000
27	0.012993	0.029907	0.075098	0.112401	0.306880	-0.000000	0.505622	-0.000000
28	0.013162	0.029998	0.075546	0.109424	0.298647	-0.000000	0.516383	-0.000000
29	0.013331	0.030092	0.075994	0.106447	0.290415	-0.000000	0.527144	-0.000000
30	0.013499	0.030189	0.076443	0.103471	0.282182	-0.000000	0.537905	-0.000000
31	0.013668	0.030290	0.076891	0.100494	0.273949	-0.000000	0.548666	-0.000000
32	0.013837	0.030393	0.077339	0.097518	0.265717	-0.000000	0.559427	-0.000000
33	0.014006	0.030499	0.077787	0.094541	0.257484	-0.000000	0.570188	-0.000000
34	0.014174	0.030608	0.078235	0.091564	0.249251	-0.000000	0.580949	-0.000000
35	0.014343	0.030720	0.078684	0.088588	0.241019	-0.000000	0.591710	-0.000000
36	0.014512	0.030835	0.079132	0.085611	0.232786	-0.000000	0.602471	-0.000000
37	0.014681	0.030953	0.079580	0.082635	0.224553	-0.000000	0.613232	-0.000000
38	0.014850	0.031074	0.080028	0.079658	0.216321	-0.000000	0.623994	-0.000000
39	0.015018	0.031198	0.080476	0.076681	0.208088	-0.000000	0.634755	-0.000000
40	0.015187	0.031324	0.080925	0.073705	0.199855	-0.000000	0.645516	-0.000000
41	0.015356	0.031453	0.081373	0.070728	0.191623	-0.000000	0.656277	-0.000000
42	0.015525	0.031585	0.081821	0.067752	0.183390	-0.000000	0.667038	-0.000000
43	0.015693	0.031719	0.082269	0.064775	0.175157	-0.000000	0.677799	-0.000000
44	0.015862	0.031857	0.082717	0.061798	0.166925	-0.000000	0.688560	-0.000000
45	0.016031	0.031996	0.083165	0.058822	0.158692	-0.000000	0.699321	-0.000000
46	0.016200	0.032139	0.083614	0.055845	0.150459	-0.000000	0.710082	-0.000000
47	0.016368	0.032283	0.084062	0.052869	0.142227	-0.000000	0.720843	-0.000000
48	0.016537	0.032431	0.084510	0.049892	0.133994	-0.000000	0.731604	-0.000000
49	0.016706	0.032581	0.084958	0.046915	0.125761	-0.000000	0.742365	-0.000000
50	0.016875	0.032733	0.085406	0.043939	0.117529	-0.000000	0.753126	-0.000000
51	0.017043	0.032887	0.085855	0.040962	0.109296	-0.000000	0.763888	-0.000000
52	0.017212	0.033044	0.086303	0.037986	0.101063	-0.000000	0.774649	-0.000000
53	0.017381	0.033204	0.086751	0.035009	0.092831	-0.000000	0.785410	-0.000000
54	0.017550	0.033365	0.087199	0.032032	0.084598	-0.000000	0.796171	-0.000000
55	0.017719	0.033529	0.087647	0.029056	0.076365	-0.000000	0.806932	-0.000000
56	0.017887	0.033696	0.088096	0.026079	0.068133	-0.000000	0.817693	-0.000000
57	0.018056	0.033864	0.088544	0.023103	0.059900	-0.000000	0.828454	-0.000000
58	0.018225	0.034034	0.088992	0.020126	0.051667	-0.000000	0.839215	-0.000000
59	0.018394	0.034207	0.089440	0.017149	0.043435	-0.000000	0.849976	-0.000000
60	0.018562	0.034382	0.089888	0.014173	0.035202	-0.000000	0.860737	-0.000000
61	0.018731	0.034559	0.090336	0.011196	0.026969	-0.000000	0.871498	-0.000000
62	0.018900	0.034738	0.090785	0.008219	0.018737	-0.000000	0.882260	-0.000000
63	0.019069	0.034918	0.091233	0.005243	0.010504	-0.000000	0.893021	-0.000000
64	0.019237	0.035101	0.091681	0.002266	0.002271	-0.000000	0.903782	-0.000000
65	0.019406	0.035309	0.077644	0.018450	-0.000010	-0.000003	0.903913	0.000006
66	0.019575	0.035600	0.058036	0.042000	-0.000008	-0.000002	0.899967	0.000006
67	0.019744	0.035977	0.038451	0.065538	-0.000011	-0.000003	0.896017	0.000008
68	0.019912	0.036436	0.018841	0.089113	-0.000005	-0.000001	0.892047	0.000004
69	0.020081	0.036975	-0.000000	0.113550	-0.000003	-0.000001	0.886452	0.000002
70	0.020250	0.037617	-0.000001	0.159726	-0.000009	-0.000002	0.840280	0.000005
71	0.020419	0.038380	0.000004	0.205579	-0.000000	0.000003	0.794130	0.000285
72	0.020587	0.039240	0.000008	0.241971	-0.000019	0.000001	0.751472	0.006567
73	0.020756	0.040180	-0.000002	0.278774	0.000003	-0.000001	0.708491	0.012734
74	0.020925	0.041192	0.000002	0.315377	0.000007	0.000003	0.665638	0.018974
75	0.021094	0.042271	0.000001	0.351937	0.000004	0.000002	0.622851	0.025205
76	0.021263	0.043411	0.000003	0.388309	-0.000012	-0.000001	0.580191	0.031510
77	0.021431	0.044611	-0.000001	0.425035	-0.000005	-0.000002	0.537302	0.037671
78	0.021600	0.045867	0.000004	0.461756	0.000016	0.000007	0.494308	0.043910
79	0.021769	0.047166	-0.000000	0.498230	-0.000000	-0.000000	0.451632	0.050137
80	0.021938	0.048513	-0.000000	0.534810	-0.000000	-0.000000	0.408819	0.056371
81	0.022106	0.049900	-0.000001	0.571356	-0.000005	-0.000002	0.366047	0.062604
82	0.022275	0.051325	-0.000001	0.607927	-0.000006	-0.000003	0.323246	0.068836
83	0.022444	0.052787	-0.000000	0.644550	-0.000000	-0.000000	0.280380	0.075070
84	0.022613	0.054280	-0.000000	0.681130	-0.000000	-0.000000	0.237566	0.081303
85	0.022781	0.055803	-0.000000	0.717710	-0.000000	-0.000000	0.194753	0.087537
86	0.022950	0.057353	-0.000000	0.754285	-0.000000	-0.000001	0.151946	0.093771
87	0.023119	0.058928	0.000000	0.790871	0.000000	0.000000	0.109125	0.100004
88	0.023288	0.060525	-0.000000	0.827447	-0.000001	-0.000000	0.066322	0.106233
89	0.023456	0.062144	-0.000001	0.863981	-0.000003	-0.000001	0.023535	0.112488
90	0.023625	0.064081	0.000002	0.845805	0.000007	0.000004	0.000001	0.154181
91	0.023794	0.068344	0.000000	0.761352	0.000000	0.000000	0.000000	0.238648
92	0.023963	0.074915	-0.000000	0.676768	-0.000000	-0.000000	-0.000000	0.323233
93	0.024132	0.083250	-0.000000	0.592169	-0.000000	-0.000000	-0.000000	0.407831
94	0.024300	0.092873	-0.000000	0.507573	-0.000000	-0.000000	-0.000000	0.492427
95	0.024469	0.103425	-0.000000	0.422980	-0.000000	-0.000000	-0.000000	0.577021
96	0.024638	0.114651	-0.000000	0.338386	-0.000000	-0.000000	-0.000000	0.661614
97	0.024807	0.126369	-0.000000	0.253798	-0.000001	-0.000000	-0.000000	0.746203
98	0.024975	0.138457	-0.000000	0.169208	-0.000001	-0.000000	-0.000000	0.830794
99	0.025144	0.150826	-0.000000	0.084608	-0.000001	-0.000000	-0.000000	0.915393
100	0.025313	0.163410	-0.000000	0.000014	-0.000001	-0.000000	-0.000000	0.999987
